127.0.0.1, 2016-02-17 15:28:16, GET, /MoodlePlus/static/js/calendar.js, HTTP/1.1, 304, 0.096000
127.0.0.1, 2016-02-17 15:28:16, GET, /MoodlePlus/static/images/twitter.png, HTTP/1.1, 304, 0.016000
127.0.0.1, 2016-02-17 15:28:16, GET, /MoodlePlus/static/images/facebook.png, HTTP/1.1, 304, 0.012000
127.0.0.1, 2016-02-17 15:28:29, GET, /populate_db, HTTP/1.1, 200, 0.324000
127.0.0.1, 2016-02-17 15:28:29, GET, /favicon.ico, HTTP/1.1, 404, 0.000000
127.0.0.1, 2016-02-17 15:28:38, GET, /, HTTP/1.1, 200, 0.048000
127.0.0.1, 2016-02-17 15:28:40, GET, /user/login, HTTP/1.1, 200, 0.074000
127.0.0.1, 2016-02-17 15:28:47, POST, /user/login, HTTP/1.1, 303, 0.407000
127.0.0.1, 2016-02-17 15:28:47, GET, /, HTTP/1.1, 200, 0.140000
127.0.0.1, 2016-02-17 15:28:47, GET, /MoodlePlus/static/images/background.jpg, HTTP/1.1, 200, 0.068000
127.0.0.1, 2016-02-17 15:29:16, GET, /default/grades, HTTP/1.1, 200, 0.076000
127.0.0.1, 2016-02-17 15:29:29, GET, /default/notifications, HTTP/1.1, 200, 0.096000
127.0.0.1, 2016-02-17 15:29:31, GET, /courses/course/cop290, HTTP/1.1, 200, 0.324000
127.0.0.1, 2016-02-17 15:29:52, GET, /courses/course/csl838, HTTP/1.1, 200, 0.068000
127.0.0.1, 2016-02-17 15:30:09, GET, /courses/course/csl838/assignments, HTTP/1.1, 200, 0.064000
127.0.0.1, 2016-02-17 15:30:11, GET, /courses/course/csl838/resources, HTTP/1.1, 200, 0.060000
127.0.0.1, 2016-02-17 15:30:16, GET, /users/user/5, HTTP/1.1, 200, 0.100000
127.0.0.1, 2016-02-17 15:30:16, GET, /static/images/profile.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-02-17 15:30:25, GET, /courses/course/csl838/resources, HTTP/1.1, 200, 0.064000
127.0.0.1, 2016-02-17 15:30:28, GET, /MoodlePlus/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.076000
127.0.0.1, 2016-02-17 15:30:30, GET, /user/change_password, HTTP/1.1, 200, 0.132000
127.0.0.1, 2016-02-17 15:30:37, GET, /courses/course/csl838/resources, HTTP/1.1, 200, 0.144000
127.0.0.1, 2016-02-17 15:30:42, GET, /courses/course/csl838/threads, HTTP/1.1, 200, 0.056000
127.0.0.1, 2016-02-17 15:30:44, GET, /courses/course/csl838/grades, HTTP/1.1, 200, 0.068000
127.0.0.1, 2016-02-17 15:30:47, GET, /courses/course/csl838/threads, HTTP/1.1, 200, 0.057000
127.0.0.1, 2016-02-17 15:30:49, GET, /courses/course/csl838/assignments, HTTP/1.1, 200, 0.056000
127.0.0.1, 2016-02-17 15:30:51, GET, /courses/course/csl838/overview, HTTP/1.1, 200, 0.184000
127.0.0.1, 2016-02-17 15:30:54, GET, /courses/course/csl838/grades, HTTP/1.1, 200, 0.056000
127.0.0.1, 2016-02-17 15:30:57, GET, /default/grades, HTTP/1.1, 200, 0.096000
127.0.0.1, 2016-02-17 15:31:09, GET, /, HTTP/1.1, 200, 0.052000
127.0.0.1, 2016-02-17 15:31:10, GET, /courses, HTTP/1.1, 200, 0.120000
127.0.0.1, 2016-02-17 15:31:25, GET, /user/logout, HTTP/1.1, 303, 0.293000
127.0.0.1, 2016-02-17 15:31:25, GET, /, HTTP/1.1, 200, 0.116000
127.0.0.1, 2016-02-17 15:31:42, GET, /user/register, HTTP/1.1, 200, 0.052000
127.0.0.1, 2016-02-17 15:31:53, GET, /user/request_reset_password, HTTP/1.1, 200, 0.056000
127.0.0.1, 2016-02-17 15:32:00, GET, /user/register, HTTP/1.1, 200, 0.052000
127.0.0.1, 2016-02-17 15:32:01, GET, /, HTTP/1.1, 200, 0.044000
127.0.0.1, 2016-02-17 15:32:41, GET, /, HTTP/1.1, 200, 0.048000
127.0.0.1, 2016-02-17 15:32:43, GET, /user/login, HTTP/1.1, 200, 0.112000
127.0.0.1, 2016-02-17 15:32:53, POST, /user/login, HTTP/1.1, 303, 0.224000
127.0.0.1, 2016-02-17 15:32:53, GET, /, HTTP/1.1, 200, 0.280000
127.0.0.1, 2016-02-17 15:32:56, GET, /user/logout, HTTP/1.1, 303, 0.148000
127.0.0.1, 2016-02-17 15:32:56, GET, /, HTTP/1.1, 200, 0.068000
127.0.0.1, 2016-02-17 21:00:14, GET, /, HTTP/1.1, 200, 0.239000
127.0.0.1, 2016-02-17 21:00:14, GET, /MoodlePlus/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.047000
127.0.0.1, 2016-02-17 21:00:14, GET, /MoodlePlus/static/css/layout.css, HTTP/1.1, 304, 0.047000
127.0.0.1, 2016-02-17 21:00:14, GET, /MoodlePlus/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.046000
127.0.0.1, 2016-02-17 21:00:14, GET, /MoodlePlus/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.049000
127.0.0.1, 2016-02-17 21:00:14, GET, /MoodlePlus/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.048000
127.0.0.1, 2016-02-17 21:00:14, GET, /MoodlePlus/static/css/calendar.css, HTTP/1.1, 304, 0.007000
